Patent,Cit_Year,Citation
6009555,1980,4192017
6009555,1985,4547903
6009555,1988,4768231
6009555,1990,4951316
6009555,1992,5105475
6009556,1976,3982547
6009556,1977,4004297
6009556,1981,4301545
6009556,1981,4306317
6009556,1987,4635640
6009556,1987,4656669
6009556,1989,4815145
6009556,1992,5083316
6009556,1992,5162015
6009557,1975,3881197
6009557,1978,4071913
6009557,1985,4519097
6009557,1988,4751747
6009557,1989,4864659
6009557,1989,4881276
6009557,1990,4894866
6009557,1991,4987611
6009557,1996,5511247
6009557,1996,5528772
6009557,1997,5661853
6009557,1997,5675839
6009557,1998,5732413
6009558,1983,4388075
6009558,1986,4606964
6009558,1987,4639949
6009558,1987,4657802
6009558,1988,4720415
6009558,1988,4747846
6009558,1989,4798603
6009558,1990,4938753
6009558,1990,4938754
6009558,1990,4938757
6009558,1990,4940464
6009558,1992,5114781
6009558,1992,5116662
6009558,1993,5204997
6009559,1981,4244059
6009559,1984,4455187
6009559,1985,4510193
6009559,1995,5383236
6009559,1996,5539930
6009559,1998,5790987
6009560,1978,4103060
6009560,1985,4517685
6009560,1988,4755407
6009560,1992,5095549
6009560,1993,5207852
6009560,1995,5406648
6009560,1997,5697101
6009560,1997,5701606
6009560,1999,5860163
6009561,1975,3925821
6009561,1976,3934271
6009561,1976,3991423
6009561,1976,3992722
6009561,1977,4054953
6009561,1977,4058854
6009561,1978,4068323
6009561,1978,4081865
6009561,1978,4115874
6009561,1979,4141085
6009561,1981,4300242
6009561,1984,4449275
6009561,1984,4477929
6009561,1985,4514864
6009561,1985,4519099
6009561,1985,4534068
6009561,1985,4538303
6009561,1985,4555816
6009561,1986,4599752
6009561,1986,4612675
6009561,1986,4622700
6009561,1986,4627115
6009561,1987,4698856
6009561,1987,4700411
6009561,1988,4744107
6009561,1988,4766614
6009561,1989,4865505
6009561,1989,4878792
6009561,1989,4884301
6009561,1991,4995117
6009561,1991,5010598
6009561,1991,5058212
6009561,1992,5083320
6009561,1992,5083321
6009561,1992,5086520
6009561,1992,5093937
6009561,1992,5093938
6009561,1992,5099523
6009561,1992,5119516
6009561,1992,5129108
6009561,1992,5136728
6009561,1992,5170510
6009561,1992,5170511
6009561,1993,5212843
6009561,1993,5231703
6009561,1993,5271102
6009561,1994,5333328
6009561,1994,5337421
6009561,1994,5345614
6009561,1995,5388277
6009561,1995,5388278
6009561,1995,5448780
6009561,1995,5450631
6009561,1996,5502843
6009561,1996,5551094
6009561,1996,5581819
6009561,1997,5606784
6009561,1997,5621923
6009561,1997,5675843
6009561,1997,5680656
6009561,1998,5724681
6009562,1975,3925821
6009562,1976,3934271
6009562,1976,3991423
6009562,1976,3992722
6009562,1977,4054953
6009562,1977,4058854
6009562,1978,4068323
6009562,1978,4081865
6009562,1978,4115874
6009562,1979,4141085
6009562,1981,4300242
6009562,1984,4449275
6009562,1984,4477929
6009562,1985,4514864
6009562,1985,4519099
6009562,1985,4534068
6009562,1985,4538303
6009562,1985,4555816
6009562,1986,4599752
6009562,1986,4612675
6009562,1986,4622700
6009562,1986,4627115
6009562,1987,4698856
6009562,1987,4700411
6009562,1988,4744107
6009562,1988,4766614
6009562,1989,4865505
6009562,1989,4878792
6009562,1989,4884301
6009562,1991,4995117
6009562,1991,5010598
6009562,1991,5058212
6009562,1992,5083320
6009562,1992,5083321
6009562,1992,5086520
6009562,1992,5093937
6009562,1992,5093938
6009562,1992,5099523
6009562,1992,5119516
6009562,1992,5129108
6009562,1992,5136728
6009562,1992,5170510
6009562,1992,5170511
6009562,1993,5212843
6009562,1993,5231703
6009562,1993,5271102
6009562,1994,5333328
6009562,1994,5337421
6009562,1994,5345614
6009562,1995,5388277
6009562,1995,5388278
6009562,1995,5448780
6009562,1995,5450631
6009562,1996,5502843
6009562,1996,5551094
