sno,citing,cited,ncites
0,5135226,3930271,6
1,5592695,3930271,6
2,5621918,3930271,6
3,5624296,3930271,6
4,5675839,3930271,6
5,6725465,3930271,6
6,4084277,3930273,20
7,4206525,3930273,20
8,4509217,3930273,20
9,4985946,3930273,20
10,4993089,3930273,20
11,4998939,3930273,20
12,5083332,3930273,20
13,5173975,3930273,20
14,5179744,3930273,20
15,5187824,3930273,20
16,5377370,3930273,20
17,5394580,3930273,20
18,5599130,3930273,20
19,5689839,3930273,20
20,6253397,3930273,20
21,6446283,3930273,20
22,6564405,3930273,20
23,6640361,3930273,20
24,6751815,3930273,20
25,7003824,3930273,20
26,4768457,3930274,4
27,4915047,3930274,4
28,5535697,3930274,4
29,5732650,3930274,4
30,6665955,3930275,1
31,4305335,3930276,3
32,4930424,3930276,3
33,5432974,3930276,3
34,5383246,3930277,3
35,6003186,3930277,3
36,6073295,3930277,3
37,5090354,3930278,2
38,6163920,3930278,2
39,4090272,3930279,5
40,4296522,3930279,5
41,4658463,3930279,5
42,5133104,3930279,5
43,6026537,3930279,5
44,4225045,3930280,34
45,4411282,3930280,34
46,4416395,3930280,34
47,4572224,3930280,34
48,4586520,3930280,34
49,4628950,3930280,34
50,4705053,3930280,34
51,4784505,3930280,34
52,4804004,3930280,34
53,4810122,3930280,34
54,4886387,3930280,34
55,4898193,3930280,34
56,5123431,3930280,34
57,5226744,3930280,34
58,5284239,3930280,34
59,5335465,3930280,34
60,5397193,3930280,34
61,5599125,3930280,34
62,5738234,3930280,34
63,5902063,3930280,34
64,6343607,3930280,34
65,6345626,3930280,34
66,6412496,3930280,34
67,6446637,3930280,34
68,6539950,3930280,34
69,6546937,3930280,34
70,6581610,3930280,34
71,6591842,3930280,34
72,6675814,3930280,34
73,6691716,3930280,34
74,6814084,3930280,34
75,6866046,3930280,34
76,7011222,3930280,34
77,7121284,3930280,34
78,4463474,3930281,15
79,4566149,3930281,15
80,4939809,3930281,15
81,5012549,3930281,15
82,5017201,3930281,15
83,5032155,3930281,15
84,5473792,3930281,15
85,5513415,3930281,15
86,5922093,3930281,15
87,6081962,3930281,15
